iter	Logloss
0	0.678502301
1	0.6658749709
2	0.6567284041
3	0.6453871654
4	0.6368891195
5	0.6254117326
6	0.6146261034
7	0.6072057821
8	0.6017958575
9	0.5967747807
10	0.5898264709
11	0.5845385239
12	0.5803659729
13	0.5753759949
14	0.5724404782
15	0.5670758724
16	0.5608111694
17	0.5562867045
18	0.5528707091
19	0.5505289868
20	0.54599286
21	0.5410185936
22	0.5393127128
23	0.5373671437
24	0.5354959451
25	0.5316994825
26	0.5303858978
27	0.5278496967
28	0.5234917811
29	0.5208192052
30	0.519815716
31	0.5174322856
32	0.5157976213
33	0.5135306803
34	0.5121565813
35	0.5111808586
36	0.5103191592
37	0.5094399731
38	0.5082477109
39	0.5061078357
40	0.5043919275
41	0.5035737906
42	0.502061973
43	0.500927819
44	0.5002306945
45	0.4995943705
46	0.4988683371
47	0.4974835767
48	0.4967834193
49	0.49619539
50	0.4956483843
51	0.4943488982
52	0.4929647673
53	0.492188634
54	0.4902758628
55	0.4887039299
56	0.4881441817
57	0.4876523292
58	0.4871282292
59	0.4866367788
60	0.4861650313
61	0.4856870634
62	0.4852237521
63	0.4848048553
64	0.4840140225
65	0.4834871276
66	0.4830349364
67	0.4822080306
68	0.4812065134
69	0.4807819887
70	0.4801351241
71	0.4797327605
72	0.4792326931
73	0.4787000869
74	0.4782386917
75	0.4778538173
76	0.4773740452
77	0.476724034
78	0.476457611
79	0.4760269472
80	0.4755240365
81	0.4751199555
82	0.4747325239
83	0.4743165096
84	0.4738644613
85	0.4736168023
86	0.472992579
87	0.4725640236
88	0.4722386918
89	0.4721047205
90	0.471846297
91	0.4714548419
92	0.4712354321
93	0.47080852
94	0.4704865774
95	0.470131974
96	0.469829301
97	0.4689085294
98	0.4682521554
99	0.4680462066
100	0.4677758968
101	0.4673166034
102	0.466823138
103	0.4665017828
104	0.4660371134
105	0.4655885817
106	0.4654026488
107	0.4651255881
108	0.4648519233
109	0.4644896838
110	0.4642474177
111	0.4639128074
112	0.4635926394
113	0.4632465397
114	0.4628571076
115	0.462362309
116	0.4620114854
117	0.4616631608
118	0.4612489971
119	0.4605375979
120	0.460277335
121	0.4601108482
122	0.4594790797
123	0.4592523081
124	0.4588474855
125	0.4585636615
126	0.4583704027
127	0.4580509994
128	0.4578215776
129	0.4575987794
130	0.4572330173
131	0.4565865409
132	0.4563156625
133	0.4560474804
134	0.4557121038
135	0.4553635526
136	0.4549067616
137	0.4544074026
138	0.4538568081
139	0.4534866933
140	0.4531614372
141	0.4528354457
142	0.4524437281
143	0.4519846841
144	0.4517832534
145	0.4515527227
146	0.4511859367
147	0.4511608964
148	0.4507042225
149	0.4503451267
150	0.4502458391
151	0.4500302302
152	0.4498809585
153	0.4495756653
154	0.4492577824
155	0.4490062699
156	0.4485658255
157	0.4483052042
158	0.4479821633
159	0.447842988
160	0.4475693694
161	0.4475633748
162	0.447311517
163	0.4458678109
164	0.4450629874
165	0.4448118962
166	0.4446101226
167	0.4443018354
168	0.4441579939
169	0.4438027465
170	0.4436413312
171	0.4434393356
172	0.4432595182
173	0.4423319933
174	0.4419990661
175	0.4417689494
176	0.4415105415
177	0.4412707439
178	0.4410311141
179	0.4406496611
180	0.4404323221
181	0.4402877169
182	0.4401685371
183	0.4400784181
184	0.4398294431
185	0.4396554929
186	0.4395320208
187	0.4391903355
188	0.4389838568
189	0.4387984555
190	0.4385960528
191	0.4385124587
192	0.4383204988
193	0.4381379608
194	0.4376503916
195	0.4374533658
196	0.4372528142
197	0.4369857088
198	0.4367914944
199	0.4365312329
200	0.4362825992
201	0.4361740264
202	0.4359291994
203	0.435737653
204	0.4355374155
205	0.4353491024
206	0.4350618878
207	0.4348983927
208	0.4346610768
209	0.4344302715
210	0.4343396191
211	0.4341089048
212	0.4339281234
213	0.4337448842
214	0.4334740643
215	0.4333144679
216	0.4330563829
217	0.4328677734
218	0.4326056505
219	0.4321256169
220	0.4316383777
221	0.4314186658
222	0.4312259844
223	0.4310080675
224	0.4309022505
225	0.430651936
226	0.4297653812
227	0.429584786
228	0.4294014245
229	0.4291619806
230	0.4290413936
