iter	Passed	Remaining
0	7	7795
1	14	7136
2	20	6939
3	27	6793
4	33	6739
5	40	6684
6	44	6306
7	50	6313
8	57	6327
9	64	6345
10	67	6043
11	73	6071
12	80	6086
13	86	6114
14	93	6125
15	99	6134
16	106	6147
17	110	6052
18	117	6057
19	123	6065
20	130	6077
21	136	6080
22	144	6119
23	153	6250
24	160	6260
25	167	6258
26	173	6255
27	180	6249
28	186	6241
29	193	6245
30	199	6248
31	206	6245
32	212	6239
33	216	6143
34	222	6142
35	229	6138
36	235	6130
37	242	6147
38	249	6147
39	256	6153
40	262	6149
41	269	6143
42	276	6144
43	282	6136
44	286	6071
45	292	6071
46	299	6078
47	306	6082
48	313	6093
49	320	6088
50	326	6083
51	330	6016
52	337	6028
53	346	6073
54	353	6072
55	359	6066
56	366	6060
57	373	6063
58	379	6055
59	386	6051
60	392	6045
61	399	6041
62	406	6038
63	412	6030
64	418	6025
65	422	5985
66	429	5979
67	435	5975
68	442	5970
69	446	5937
70	453	5934
71	460	5932
72	466	5926
73	473	5921
74	476	5870
75	482	5866
76	488	5861
77	496	5863
78	502	5863
79	509	5860
80	516	5855
81	522	5850
82	530	5856
83	536	5855
84	548	5902
85	559	5941
86	570	5982
87	573	5945
88	580	5938
89	587	5935
90	593	5926
91	599	5921
92	606	5913
93	612	5906
94	616	5870
95	622	5862
96	629	5855
97	635	5852
98	642	5850
99	649	5844
100	655	5837
101	662	5829
102	668	5823
103	675	5816
104	681	5807
105	684	5771
106	690	5764
107	697	5758
108	703	5751
109	710	5747
110	717	5743
111	720	5710
112	726	5704
113	733	5701
114	740	5695
115	746	5689
116	753	5684
117	759	5678
118	766	5674
119	772	5667
120	779	5660
121	785	5654
122	792	5647
123	799	5644
124	805	5638
125	811	5631
126	818	5625
127	824	5618
128	831	5615
129	838	5608
130	844	5601
131	850	5595
132	857	5588
133	863	5583
134	870	5576
135	876	5569
136	883	5562
137	889	5556
138	896	5555
139	903	5548
140	909	5541
141	916	5535
142	922	5528
143	928	5522
144	935	5516
145	941	5509
146	948	5502
147	954	5495
148	961	5490
149	967	5482
150	973	5476
151	980	5470
152	986	5463
153	993	5459
154	1000	5452
155	1006	5446
156	1013	5439
157	1019	5434
158	1026	5428
159	1032	5421
160	1037	5408
161	1044	5402
162	1050	5395
163	1057	5389
164	1063	5383
165	1067	5360
166	1073	5354
167	1079	5348
168	1086	5341
169	1093	5336
170	1099	5329
171	1105	5323
172	1112	5316
173	1118	5310
174	1125	5305
175	1131	5298
176	1138	5291
177	1144	5285
178	1150	5278
179	1157	5272
180	1163	5266
181	1170	5260
182	1176	5253
183	1183	5247
184	1189	5241
185	1196	5234
186	1202	5228
187	1208	5221
188	1216	5217
189	1222	5211
190	1228	5205
191	1235	5198
192	1241	5192
193	1248	5186
194	1254	5179
195	1261	5173
196	1267	5167
197	1274	5161
198	1280	5155
199	1287	5150
200	1294	5145
201	1300	5138
202	1307	5132
203	1313	5125
204	1320	5119
205	1326	5112
206	1332	5106
207	1339	5100
208	1346	5094
209	1352	5088
210	1359	5082
211	1365	5075
212	1371	5068
213	1378	5061
214	1384	5055
215	1391	5049
216	1397	5042
217	1404	5036
218	1410	5029
219	1416	5023
220	1423	5016
221	1429	5010
222	1436	5004
223	1443	5000
224	1450	4995
225	1456	4988
226	1462	4981
227	1469	4976
228	1476	4970
229	1482	4963
230	1489	4957
231	1495	4950
232	1502	4945
233	1508	4938
234	1515	4932
235	1524	4934
236	1535	4942
237	1545	4949
238	1554	4949
239	1560	4942
240	1567	4937
241	1574	4930
242	1579	4919
243	1585	4913
244	1590	4901
245	1597	4895
