iter	Passed	Remaining
0	8	10026
1	15	9355
2	22	8970
3	29	8844
4	37	9011
5	48	9734
6	57	9880
7	66	9897
8	74	9837
9	81	9737
10	89	9686
11	98	9709
12	106	9689
13	113	9605
14	120	9532
15	127	9442
16	135	9400
17	142	9387
18	150	9338
19	157	9304
20	165	9278
21	172	9253
22	180	9213
23	187	9198
24	195	9167
25	209	9464
26	216	9402
27	223	9346
28	230	9305
29	237	9264
30	244	9222
31	251	9196
32	259	9173
33	266	9130
34	274	9132
35	281	9090
36	287	9038
37	294	8991
38	300	8945
39	307	8905
40	314	8879
41	320	8845
42	327	8820
43	334	8788
44	341	8753
45	347	8721
46	354	8693
47	361	8664
48	367	8637
49	374	8623
50	381	8595
51	388	8574
52	395	8549
53	402	8532
54	409	8519
55	415	8494
56	422	8480
57	429	8455
58	436	8436
59	442	8402
60	448	8383
61	456	8376
62	462	8353
63	469	8341
64	477	8334
65	484	8317
66	490	8298
67	497	8279
68	503	8260
69	510	8233
70	517	8228
71	524	8209
72	530	8190
73	537	8176
74	544	8161
75	551	8153
76	558	8139
77	564	8124
78	572	8117
79	578	8102
80	585	8088
81	591	8070
82	598	8058
83	605	8047
84	612	8036
85	619	8025
86	626	8016
87	633	8002
88	640	7993
89	647	7980
90	653	7970
91	660	7959
92	667	7945
93	674	7939
94	681	7928
95	687	7910
96	694	7895
97	700	7881
98	707	7867
99	714	7854
100	720	7839
101	726	7822
102	734	7818
103	741	7811
104	748	7804
105	754	7790
106	761	7780
107	768	7773
108	775	7766
109	782	7757
110	789	7746
111	796	7734
112	803	7725
113	810	7719
114	817	7709
115	825	7711
116	830	7682
117	836	7673
118	843	7660
119	850	7650
120	856	7639
121	863	7627
122	870	7618
123	877	7615
124	884	7604
125	891	7595
126	897	7586
127	904	7577
128	911	7567
129	918	7557
130	924	7548
131	932	7541
132	938	7531
133	945	7521
134	952	7512
135	958	7502
136	965	7493
137	973	7488
138	980	7484
139	987	7477
140	994	7469
141	1001	7459
142	1007	7448
143	1014	7443
144	1022	7436
145	1029	7431
146	1037	7430
147	1044	7423
148	1051	7420
149	1063	7441
150	1071	7445
151	1078	7437
152	1086	7432
153	1093	7426
154	1100	7421
155	1108	7416
156	1115	7408
157	1122	7402
158	1130	7399
159	1136	7390
160	1144	7385
161	1151	7380
162	1158	7372
163	1165	7361
164	1172	7355
165	1179	7344
166	1186	7338
167	1193	7331
168	1200	7322
169	1207	7313
170	1213	7303
171	1220	7292
172	1226	7282
173	1233	7274
174	1240	7265
175	1246	7254
176	1253	7244
177	1260	7237
178	1266	7225
179	1273	7216
180	1279	7206
181	1286	7196
182	1292	7185
183	1299	7176
184	1305	7165
185	1312	7156
186	1319	7148
187	1326	7139
188	1333	7131
189	1340	7123
190	1347	7120
191	1354	7113
192	1361	7106
193	1369	7100
194	1375	7090
195	1382	7081
196	1389	7075
197	1396	7068
198	1404	7063
199	1411	7057
200	1418	7051
201	1426	7047
202	1433	7039
203	1440	7032
204	1447	7027
205	1455	7021
206	1461	7010
207	1468	7005
208	1476	7001
209	1483	6995
210	1491	6988
211	1498	6981
212	1505	6976
213	1512	6968
214	1520	6964
215	1527	6957
216	1534	6950
217	1541	6944
218	1548	6936
219	1554	6926
220	1561	6919
221	1568	6909
222	1575	6903
223	1583	6898
224	1590	6892
225	1598	6887
226	1605	6881
227	1612	6874
228	1619	6866
229	1626	6857
230	1633	6850
231	1639	6842
232	1646	6834
233	1653	6825
234	1662	6828
235	1670	6825
236	1679	6822
237	1688	6824
238	1694	6814
239	1702	6811
240	1709	6802
241	1718	6801
242	1724	6791
243	1735	6801
244	1750	6825
245	1757	6815
246	1764	6807
247	1771	6799
248	1777	6790
249	1785	6786
250	1795	6787
251	1802	6781
252	1809	6772
253	1818	6774
254	1825	6765
255	1833	6762
256	1845	6772
257	1853	6766
258	1861	6761
259	1868	6755
260	1876	6749
261	1899	6801
262	1911	6810
263	1922	6815
264	1932	6818
265	1940	6812
266	1947	6805
267	1953	6792
268	1958	6779
269	1965	6769
